symbol,threshold,window,start,end,samples,signals,precision,recall,f1,auc,return_pct,profit_factor
AVAX,0.7500000000000002,1,2026-07-08 17:00:00,2026-07-15 14:00:00,166,0,0.0,0.0,0.0,0.8867924528301887,0.0,0.0
AVAX,0.7500000000000002,2,2026-07-15 15:00:00,2026-07-22 12:00:00,166,0,0.0,0.0,0.0,0.48466257668711654,0.0,0.0
AVAX,0.7500000000000002,3,2026-07-22 13:00:00,2026-07-29 09:00:00,165,1,0.0,0.0,0.0,0.6735985533453888,0.0711559928816732,inf
AVNT,0.7900000000000003,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,5,0.4,0.16666666666666666,0.23529411764705882,0.6904761904761906,4.125806491704777,188.88669436404516
AVNT,0.7900000000000003,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,2,0.5,0.1,0.16666666666666666,0.6923076923076923,1.3928836702032736,inf
AVNT,0.7900000000000003,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,1,0.0,0.0,0.0,0.7580645161290323,0.02331363144928013,inf
BCH,0.6700000000000002,1,2026-07-08 17:00:00,2026-07-15 14:00:00,166,4,0.25,0.2,0.2222222222222222,0.853416149068323,1.6872930068610958,11.908323780778792
BCH,0.6700000000000002,2,2026-07-15 15:00:00,2026-07-22 12:00:00,166,3,0.0,0.0,0.0,0.5718749999999999,0.1420609595122232,1.2355244280659767
BCH,0.6700000000000002,3,2026-07-22 13:00:00,2026-07-29 09:00:00,165,1,0.0,0.0,0.0,0.73,-0.162563596467584,0.0
BERA,0.7900000000000003,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,1,1.0,0.1111111111111111,0.2,0.7381457891012031,0.8618356298753251,inf
BERA,0.7900000000000003,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,1,0.0,0.0,0.0,0.7079166666666666,0.3487602250108648,inf
BERA,0.7900000000000003,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,6,0.3333333333333333,0.09523809523809523,0.14814814814814814,0.7093253968253969,3.3337154315351643,6.150895672455619
BNB,0.5,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,7,0.0,0.0,0.0,,1.850961037465508,10.778918681981
BNB,0.5,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,7,0.0,0.0,0.0,,0.4858272920183855,2.0714812789665653
BNB,0.5,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,11,0.09090909090909091,0.5,0.15384615384615385,0.5950920245398773,0.5887627855007944,1.3487908211907216
BOME,0.7400000000000002,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,1,0.0,0.0,0.0,0.5973101265822784,-0.08460096878320365,0.0
BOME,0.7400000000000002,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,0,0.0,0.0,0.0,0.525,0.0,0.0
BOME,0.7400000000000002,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,63,0.25396825396825395,0.6666666666666666,0.367816091954023,0.7946217494089834,-28.000368437053787,0.5880477222712319
BONK,0.7800000000000002,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,1,1.0,0.08333333333333333,0.15384615384615385,0.6352813852813852,1.398192568467256,inf
BONK,0.7800000000000002,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,21,0.23809523809523808,0.1388888888888889,0.17543859649122806,0.5651709401709403,0.6449157122549467,1.0655532676176358
BONK,0.7800000000000002,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,6,0.16666666666666666,0.05,0.07692307692307693,0.566551724137931,2.2419239727610814,4.940899320587379
BRENTOIL,0.56,1,2026-07-21 11:00:00,2026-07-24 02:00:00,64,0,0.0,0.0,0.0,0.9047619047619048,0.0,0.0
BRENTOIL,0.56,2,2026-07-24 03:00:00,2026-07-26 18:00:00,64,13,0.15384615384615385,0.6666666666666666,0.25,0.7267759562841529,3.198382165565662,4.635240268262427
BRENTOIL,0.56,3,2026-07-26 19:00:00,2026-07-29 10:00:00,64,6,0.16666666666666666,0.2,0.18181818181818182,0.5389830508474576,3.8917551269683077,6.857849588569849
BRETT,0.7900000000000003,1,2026-07-09 00:00:00,2026-07-15 19:00:00,164,0,0.0,0.0,0.0,0.8036858974358974,0.0,0.0
BRETT,0.7900000000000003,2,2026-07-15 20:00:00,2026-07-22 15:00:00,164,0,0.0,0.0,0.0,0.46810035842293907,0.0,0.0
BRETT,0.7900000000000003,3,2026-07-22 16:00:00,2026-07-29 10:00:00,163,2,0.5,0.05263157894736842,0.09523809523809523,0.6900584795321637,1.6830222104012553,inf
BTC,0.5,1,2026-07-08 17:00:00,2026-07-15 14:00:00,166,26,0.038461538461538464,1.0,0.07407407407407407,0.8787878787878788,-3.432489293753835,0.3973078575870589
